,meta_country,period,cultural_index
0,Afghanistan,200,0.2171092572874649
1,Afghanistan,250,0.4342185145749298
2,Afghanistan,350,0.1019646885460796
3,Afghanistan,400,0.509823442730398
4,Afghanistan,700,0.41707289825523025
5,Afghanistan,750,1.3741075171242427
6,Afghanistan,800,0.992353190021962
7,Afghanistan,850,0.68873650363455
8,Afghanistan,900,1.3012011765381608
9,Afghanistan,950,1.5544227305354235
10,Afghanistan,1000,1.5066489434821757
11,Afghanistan,1050,2.52410182725795
12,Afghanistan,1100,1.3361301193653534
13,Afghanistan,1150,2.0705363588447496
14,Afghanistan,1200,2.506854538143134
15,Afghanistan,1250,1.3471113324647899
16,Afghanistan,1300,0.40026645497122865
17,Afghanistan,1350,0.4157943547386538
18,Afghanistan,1400,1.508185584466343
19,Afghanistan,1450,4.199436373755292
20,Afghanistan,1500,4.483030922456895
21,Afghanistan,1550,2.7704525671716342
22,Afghanistan,1600,1.190373651825895
23,Afghanistan,1650,0.961095642649842
24,Afghanistan,1700,0.622284960050202
25,Afghanistan,1750,0.7575709639806977
26,Afghanistan,1800,1.3680522351428512
27,Afghanistan,1850,4.167046753084767
28,Afghanistan,1900,2.6681351266632
29,Afghanistan,1950,0.1069131133648767
30,Albania,1300,0.4427839681892545
31,Albania,1350,0.22139198409462724
32,Albania,1400,0.20517216948852496
33,Albania,1450,1.3584941127827863
34,Albania,1500,1.476314898617811
35,Albania,1550,0.6187140023564197
36,Albania,1600,2.2995535301645367
37,Albania,1650,1.5843981038965582
38,Albania,1700,0.6249802726168762
39,Albania,1750,1.7393171525784652
40,Albania,1800,3.181341036146038
41,Albania,1850,6.428033372564176
42,Albania,1900,10.34431366894432
43,Albania,1950,0.2043031801038956
44,Algeria,-50,0.256228113118241
45,Algeria,0,0.512456226236482
46,Algeria,100,0.23937510234571885
47,Algeria,150,1.1649937955899086
48,Algeria,200,0.3431217954492355
49,Algeria,300,0.21247975598363938
50,Algeria,350,1.8209408812029386
51,Algeria,400,3.359160995413681
52,Algeria,450,0.4210493230659449
53,Algeria,500,0.2300875874931364
54,Algeria,550,0.4601751749862728
55,Algeria,850,0.20388522105917212
56,Algeria,900,0.40777044211834423
57,Algeria,1000,0.40243357519431927
58,Algeria,1050,0.8048671503886385
59,Algeria,1100,0.2045366305151562
60,Algeria,1150,0.4090732610303124
61,Algeria,1200,1.3349216701451794
62,Algeria,1250,2.780653118452742
63,Algeria,1300,0.20278218425446193
64,Algeria,1350,0.7018369740159737
65,Algeria,1400,1.2638126366723086
66,Algeria,1450,1.6671710284630434
67,Algeria,1500,1.4222740186419502
68,Algeria,1550,1.6243485772567487
69,Algeria,1600,1.2359693543765016
70,Algeria,1650,1.2200371580242195
71,Algeria,1700,0.9048206661515392
72,Algeria,1750,0.9222665489063997
73,Algeria,1800,3.6168510983456406
74,Algeria,1850,13.908101223978804
75,Algeria,1900,22.43302993269519
76,Algeria,1950,0.10346799545436405
77,Andorra,1850,0.30135280393524067
78,Andorra,1900,0.30135280393524067
79,Angola,1850,0.7024390839009684
80,Angola,1900,0.5017253695720537
81,Antigua and Barbuda,1750,0.40149520897801794
82,Antigua and Barbuda,1800,1.3109797303332362
83,Antigua and Barbuda,1850,0.10159786247544007
84,Arab Countries,-2800,0.3702167732281284
85,Arab Countries,-2750,0.7404335464562568
86,Arab Countries,-2500,0.22003588072310565
87,Arab Countries,-2450,0.6570006789702185
88,Arab Countries,-2400,0.43385783504801456
89,Arab Countries,-2300,0.2134801088214066
90,Arab Countries,-2250,0.4269602176428132
91,Arab Countries,-2100,0.4043015585181455
92,Arab Countries,-2050,0.20215077925907274
93,Arab Countries,-2000,0.2014795955782787
94,Arab Countries,-1950,0.4029591911565574
95,Arab Countries,-1600,0.8644250622212108
96,Arab Countries,-1550,1.3091968637652014
97,Arab Countries,-1500,0.8320338294713153
98,Arab Countries,-1450,0.8205159626974399
99,Arab Countries,-1400,1.5694527273595125
100,Arab Countries,-1350,2.45721231149504
101,Arab Countries,-1250,0.5504664116606736
102,Arab Countries,-1200,0.3187766157119801
103,Arab Countries,-1150,0.4173666667596908
104,Arab Countries,-1050,0.3230129461975839
105,Arab Countries,-1000,1.6150647309879196
106,Arab Countries,-550,0.4109217792979137
107,Arab Countries,-500,1.0618419806901997
108,Arab Countries,-450,0.8092392318613201
109,Arab Countries,-400,2.0506095078787374
110,Arab Countries,-350,2.6320868809358333
111,Arab Countries,-300,3.3280277047481666
112,Arab Countries,-250,7.320880542410033
113,Arab Countries,-200,2.659653074425242
114,Arab Countries,-150,4.317914547901357
115,Arab Countries,-100,5.407337495663966
116,Arab Countries,-50,5.317795542054183
117,Arab Countries,0,4.016624944032937
118,Arab Countries,50,6.748507129838048
119,Arab Countries,100,8.81730358492414
120,Arab Countries,150,9.2165448415046
121,Arab Countries,200,9.605929839899362
122,Arab Countries,250,12.348705306985881
123,Arab Countries,300,6.307347567554857
124,Arab Countries,350,8.210180069773838
125,Arab Countries,400,9.233125873266475
126,Arab Countries,450,7.825761442372165
127,Arab Countries,500,12.074436793536778
128,Arab Countries,550,15.001826295966534
129,Arab Countries,600,15.302924417140687
130,Arab Countries,650,23.616840511249286
131,Arab Countries,700,22.718219534884966
132,Arab Countries,750,26.24009217266735
133,Arab Countries,800,30.175059168136347
134,Arab Countries,850,31.179201954168768
135,Arab Countries,900,24.11761099279187
136,Arab Countries,950,26.21665393550237
137,Arab Countries,1000,30.082913801485656
138,Arab Countries,1050,29.334394383615393
139,Arab Countries,1100,36.30283305383434
140,Arab Countries,1150,51.39580887335365
